,index,product_title,product_update_time,product_avail,data_update_time
0,0,Buffalo Trace,2023-08-13 13:20:00.000000,1,2023-08-14 00:11:04.168636
1,1,W.L. Weller Special Reserve,2023-08-13 13:20:00.000000,0,2023-08-14 00:11:04.168636
2,2,E.H. Taylor Jr. Small Batch,2023-08-13 13:20:00.000000,0,2023-08-14 00:11:04.168636
3,3,Eagle Rare,2023-08-13 13:20:00.000000,0,2023-08-14 00:11:04.168636
4,4,Blanton’s Single Barrel,2023-08-13 13:20:00.000000,0,2023-08-14 00:11:04.168636
5,5,Sazerac Rye,2023-08-13 13:20:00.000000,1,2023-08-14 00:11:04.168636
6,6,Wheatley,2023-08-13 13:20:00.000000,1,2023-08-14 00:11:04.168636
7,7,Bourbon Cream,2023-08-13 13:20:00.000000,1,2023-08-14 00:11:04.168636
8,0,Buffalo Trace,2023-08-14 14:22:00.000000,1,2023-08-14 20:09:16.799394
9,1,W.L. Weller Special Reserve,2023-08-14 14:22:00.000000,0,2023-08-14 20:09:16.799394
10,2,E.H. Taylor Jr. Small Batch,2023-08-14 14:22:00.000000,0,2023-08-14 20:09:16.799394
11,3,Eagle Rare,2023-08-14 14:22:00.000000,0,2023-08-14 20:09:16.799394
12,4,Blanton’s Single Barrel,2023-08-14 14:22:00.000000,0,2023-08-14 20:09:16.799394
13,5,Sazerac Rye,2023-08-14 14:22:00.000000,1,2023-08-14 20:09:16.799394
14,6,Wheatley,2023-08-14 14:22:00.000000,1,2023-08-14 20:09:16.799394
15,7,Bourbon Cream,2023-08-14 14:22:00.000000,1,2023-08-14 20:09:16.799394
16,0,Buffalo Trace,2023-08-14 14:22:00.000000,1,2023-08-15 04:05:31.326086
17,1,W.L. Weller Special Reserve,2023-08-14 14:22:00.000000,0,2023-08-15 04:05:31.326086
18,2,E.H. Taylor Jr. Small Batch,2023-08-14 14:22:00.000000,0,2023-08-15 04:05:31.326086
19,3,Eagle Rare,2023-08-14 14:22:00.000000,0,2023-08-15 04:05:31.326086
20,4,Blanton’s Single Barrel,2023-08-14 14:22:00.000000,0,2023-08-15 04:05:31.326086
21,5,Sazerac Rye,2023-08-14 14:22:00.000000,1,2023-08-15 04:05:31.326086
22,6,Wheatley,2023-08-14 14:22:00.000000,1,2023-08-15 04:05:31.326086
23,7,Bourbon Cream,2023-08-14 14:22:00.000000,1,2023-08-15 04:05:31.326086
24,0,Buffalo Trace,2023-08-14 14:22:00.000000,1,2023-08-14 23:45:55.197301
25,1,W.L. Weller Special Reserve,2023-08-14 14:22:00.000000,0,2023-08-14 23:45:55.197301
26,2,E.H. Taylor Jr. Small Batch,2023-08-14 14:22:00.000000,0,2023-08-14 23:45:55.197301
27,3,Eagle Rare,2023-08-14 14:22:00.000000,0,2023-08-14 23:45:55.197301
